,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600209,ST罗顿,-0.18,70.81,,-16.23,,-7729.41,70.79,,03-19
1,600030,中信证券,1.16,14.85,,8.43,,1490232.42,21.86,10派4,03-19
2,600449,宁夏建材,2.02,25.62,,16.35,,96486.32,25.49,10派6.7,03-19
3,601456,国联证券,0.28,,,6.41,,58787.14,12.76,10派1.2,03-19
4,999,华润三九,1.63,-24.54,,12.06,,159748.92,-24.38,10派5,03-19
5,600332,白云山,1.79,-8.57,,11.55,,291524.46,-8.58,10派5.38,03-19
6,300016,北陆药业,0.36,-48.57,,11.49,,17470.2,-48.98,10派0.6,03-19
7,603505,金石资源,1.0,7.53,,23.64,,23795.83,6.97,10派3转3,03-19
8,2628,成都路桥,0.11,83.33,,2.89,,8168.92,88.84,,03-19
9,300887,谱尼测试,2.59,18.26,,16.88,,16373.19,30.91,10派5转8,03-19
10,600511,国药股份,1.83,-12.94,,12.67,,138268.84,-13.79,10派5.5,03-19
11,905,厦门港务,0.22,34.66,,3.87,,13407.49,56.58,10派0.18,03-19
12,300748,金力永磁,0.59,55.26,,17.13,,24448.37,55.84,10派2,03-19
13,698,沈阳化工,0.44,-148.35,,9.18,,35739.52,-147.92,10派0.9,03-19
14,3816,中国广核,0.19,-5.97,,10.37,,956230.76,1.02,,03-19
15,600062,华润双鹤,0.96,-4.74,,11.27,,100516.16,-4.74,10派2.9,03-19
16,601126,四方股份,0.43,79.17,,8.57,,34395.14,83.07,10派9.8,03-19
17,603938,三孚股份,0.65,-9.72,,8.25,,9735.84,-9.57,,03-19
18,600419,天润乳业,0.56,-16.42,,9.99,,14743.42,5.62,10派1.65,03-19
19,600725,ST云维,0.01,27.45,,5.19,,1603.44,27.27,,03-19
20,2080,中材科技,1.22,48.7,,16.55,,205194.11,48.7,10派4,03-18
21,2352,顺丰控股,1.64,24.24,,15.2,,732607.88,26.39,10派3.3,03-18
22,601878,浙商证券,0.47,62.07,,9.78,,162716.6,68.17,,03-18
23,2812,恩捷股份,1.34,26.42,,17.15,,111560.4,31.27,10派1.7,03-18
24,300801,泰和科技,0.9,-51.29,,10.93,,19519.25,13.74,,03-18
25,600785,新华百货,0.19,-76.54,,1.83,,4328.62,-76.23,,03-18
26,600523,贵航股份,0.37,12.12,,5.81,,15022.15,11.19,10派2,03-18
27,600860,*ST京城,0.34,-209.68,,30.13,,15643.18,-220.3,,03-18
28,612,焦作万方,0.48,434.83,,12.41,,56790.0,432.52,10派0.5,03-18
29,2176,*ST江特,0.01,-100.84,,0.91,,1432.65,-100.71,,03-18
30,2876,三利谱,1.01,106.12,,7.91,,11682.42,127.94,,03-18
31,600435,北方导航,0.04,33.33,,2.86,,6249.94,40.14,10派0.25,03-18
32,2231,奥维通信,-0.47,-449.37,,-32.54,,-16739.55,-449.21,,03-18
33,2469,三维工程,0.73,386.67,,26.31,,37298.31,382.11,10派1.5,03-18
34,300398,飞凯材料,0.45,-10.0,,9.03,,22983.29,-9.92,10派0.65,03-18
35,600835,上海机电,1.1,3.77,,9.69,,112996.13,4.67,10派3.9,03-18
36,603712,七一二,0.68,51.11,,18.9,,52308.39,51.48,10派1,03-18
37,2211,宏达新材,0.12,-159.85,,7.19,,5269.58,-159.88,,03-18
38,605136,丽人丽妆,0.92,15.81,,18.27,,33948.05,18.7,,03-18
39,600800,渤海化学,0.19,-246.15,,7.84,,18602.27,-332.96,,03-18
40,2719,*ST麦趣,0.3,-140.39,,6.22,,5275.08,-175.94,10派0.1652,03-18
41,2985,北摩高科,2.3,21.69,,17.59,,31649.85,49.08,10派3送7,03-18
42,2564,天沃科技,-1.35,-2800.0,,-37.54,,-115951.73,-2835.24,,03-17
43,2882,金龙羽,0.44,-31.89,,10.23,,19192.78,-31.56,10派3,03-17
44,63,中兴通讯,0.92,-24.59,9.39,10.18,2.22,425975.2,-17.25,10派2,03-17
45,300548,博创科技,0.59,555.56,,13.22,,8845.89,1036.48,,03-17
46,600416,*ST湘电,0.08,-104.79,,2.79,,7526.14,-104.77,,03-17
47,300416,苏试试验,0.61,-6.15,,13.31,,12341.16,41.37,10派1.5转3,03-17
48,2810,山东赫达,1.35,58.04,,24.85,,25223.4,60.02,10转7,03-17
49,300114,中航电测,0.45,25.0,,15.07,,26250.54,23.58,10派0.5,03-17
50,597,东北制药,0.01,-94.74,,0.3,,1225.68,-92.95,10派0.08,03-17
51,600433,冠豪高新,0.14,7.69,,6.53,,17854.74,4.83,10派0.45,03-17
52,401,冀东水泥,1.96,5.99,,16.31,,285001.08,5.53,10派5,03-17
53,300483,首华燃气,0.85,16.87,,4.76,,10775.52,46.11,10转8,03-17
54,600507,方大特钢,0.99,-16.1,,28.79,,214028.53,25.08,10派11,03-17
55,603677,奇精机械,0.29,-27.5,,5.32,,5620.64,-26.35,10派1,03-17
56,300456,赛微电子,0.31,65.58,,6.83,,20109.69,66.62,10派0.35,03-17
57,600961,株冶集团,0.16,1500.0,,,,15886.12,105.14,,03-17
58,603396,金辰股份,0.78,36.84,,8.6,,8255.96,37.28,10派2.4,03-16
59,600794,保税科技,0.18,38.46,,10.34,,21269.35,35.05,10派0.15,03-16
60,603093,南华期货,0.16,8.99,,3.83,,9417.34,18.47,,03-16
61,2233,塔牌集团,1.51,3.4,,17.62,,178215.47,2.81,10派4.3,03-16
62,300242,佳云科技,-0.58,-4431.34,,-43.26,,-36828.52,-4436.37,,03-16
63,300848,美瑞新材,1.79,7.19,,20.98,,10203.17,22.39,10派2,03-16
64,600976,健民集团,0.96,60.0,,11.73,,14778.84,61.53,10派3.66,03-16
65,603335,迪生力,0.14,600.0,,10.22,,6016.27,562.48,10派0.43,03-16
66,2649,博彦科技,0.63,33.48,,11.45,,33084.94,34.26,10派2.18,03-16
67,300403,汉宇集团,0.34,25.74,,14.43,,20459.85,25.47,10派1.1,03-16
68,300690,双一科技,2.93,110.79,,28.15,,32219.27,111.58,10派10转5,03-16
69,600841,上柴股份,0.24,74.07,,5.22,,20332.05,73.98,10派0.83,03-16
70,688360,德马科技,0.87,-13.0,,10.01,,6643.88,3.79,10派3.5,03-16
71,2993,奥海科技,2.18,33.74,,25.05,,32903.75,48.53,,03-16
72,300496,中科创达,1.08,81.87,,15.04,,44346.12,86.61,10派2.2,03-16
73,603020,爱普股份,0.53,12.17,,7.88,,17023.5,12.15,10派1.6,03-16
74,2868,绿康生化,0.28,-40.43,,5.68,,4320.83,-24.15,10派1.4,03-16
75,300007,汉威科技,0.7,-300.0,,14.2,,20553.48,-298.05,10派0.6,03-16
76,300577,开润股份,0.36,-65.38,,8.04,,7795.41,-65.51,10派1.05,03-16
