,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2762,300189,神农科技,-0.0,-64.66,,-0.39,,-414.92,-65.15,,04-28
2763,300513,恒实科技,0.01,-92.89,,0.12,,303.18,-86.92,,04-28
2764,300205,天喻信息,-0.11,-169.08,,-3.23,,-4543.7,-169.04,,04-28
2765,2881,美格智能,0.02,-33.33,,0.77,,422.51,-31.96,,04-28
2766,300547,川环科技,0.07,-68.99,,1.82,,1534.06,-45.51,,04-28
2767,600305,恒顺醋业,0.1,5.33,,3.32,,7591.95,5.31,,04-28
2768,2577,雷柏科技,0.04,300.0,,1.19,,1204.91,186.37,,04-28
2769,601368,绿城水务,0.05,-55.19,,1.14,,4805.2,-46.23,,04-28
2770,930,中粮科技,0.05,73.57,,1.02,,10068.34,73.79,,04-28
2771,600323,瀚蓝环境,0.18,-28.0,,2.05,,13578.8,-28.84,,04-28
2772,300254,仟源医药,-0.21,-319.6,,-5.5,,-4365.01,-319.75,,04-28
2773,600719,大连热电,0.13,-27.37,,6.91,,5279.99,-27.13,,04-28
2774,2933,新兴装备,0.16,-44.83,,1.25,,1932.49,-43.69,,04-28
2775,600343,航天动力,-0.02,-545.45,,-0.75,,-1566.26,-548.15,,04-28
2776,300612,宣亚国际,-0.08,0.0,,-3.08,,-1255.71,3.09,,04-28
2777,603530,神马电力,0.05,25.0,,2.18,,1985.69,26.78,,04-28
2778,688078,龙软科技,0.03,-81.25,,0.43,,206.66,-75.62,,04-28
2779,600017,日照港,0.06,-23.68,,1.5,,17824.79,-23.69,,04-28
2780,603578,三星新材,0.21,16.67,,2.83,,1817.23,14.95,,04-28
2781,586,汇源通信,-0.01,37.5,,-0.86,,-210.21,32.49,,04-28
2782,2026,山东威达,0.07,0.0,,1.3,,3047.93,2.51,,04-28
2783,300683,海特生物,0.04,-86.21,,0.24,,425.06,-85.76,,04-28
2784,2696,百洋股份,-0.03,-260.22,,-0.79,,-1039.75,-241.72,,04-28
2785,2063,远光软件,0.01,1.23,,0.28,,695.51,1.38,,04-28
2786,600486,扬农化工,1.44,36.36,,8.44,,44622.13,36.3,,04-28
2787,300699,光威复材,0.33,-23.26,,5.24,,17158.67,8.28,,04-28
2788,603023,威帝股份,0.01,-66.67,,0.57,,410.39,-62.71,,04-28
2789,300717,华信新材,0.1,-27.57,,1.76,,1038.67,-24.89,,04-28
2790,703,恒逸石化,0.29,93.33,,3.43,,81155.04,91.67,,04-28
2791,603076,乐惠国际,0.51,82.14,,4.93,,3809.52,80.89,,04-28
2792,600160,巨化股份,0.0,-97.04,,0.09,,1190.41,-96.78,,04-28
2793,2128,露天煤业,0.51,4.08,,5.88,,98265.63,23.09,,04-28
2794,300788,中信出版,0.13,-67.5,,1.41,,2419.65,-57.58,,04-28
2795,600197,伊力特,0.02,-94.33,,0.29,,834.17,-94.42,,04-28
2796,300144,宋城演艺,0.03,-86.5,,0.52,,4996.03,-86.5,,04-28
2797,2161,远望谷,-0.17,-342.12,,-6.41,,-12504.92,-342.05,,04-28
2798,300806,斯迪克,-0.15,-11.76,,-1.62,,-1732.46,18.11,,04-28
2820,2056,横店东磁,0.05,-23.43,,1.65,,8810.15,-22.33,,04-28
2821,600839,四川长虹,-0.08,-832.69,,-3.74,,-35177.86,-832.82,,04-28
