,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,605208,永茂泰,0.92,64.29,,11.45,,12959.92,65.04,,02-09
1,300951,博硕科技,,,,,,9096.1,4.31,,02-02
2,688316,青云科技,,,,,,-13018.8,-18.94,,02-01
3,300953,震裕科技,,,,,,6786.4,12.17,,01-28
4,605268,王力安防,0.4,14.29,,15.71,,14669.06,12.91,,01-28
5,605081,太和水,1.6,18.52,,10.94,,9346.59,17.9,,01-26
6,605133,嵘泰股份,0.8,-11.11,,12.34,,9647.09,-10.41,,01-26
7,300949,奥雅设计,,,,,,6152.37,9.19,,01-26
8,605077,华康股份,2.68,13.56,,30.27,,23390.04,13.17,,01-20
9,605337,李子园,1.24,20.39,,24.53,,14397.14,20.31,,01-19
10,600916,中国黄金,0.22,37.5,,6.77,,32938.58,34.57,,01-19
11,300947,德必集团,,,,,,6713.74,-4.53,,01-19
12,3037,三和管桩,0.55,150.0,,,,24036.07,146.61,,01-18
13,688616,西力科技,,,,,,5454.99,42.04,,01-15
14,605055,迎丰股份,0.16,-27.27,,8.3,,5712.88,-29.0,,01-12
15,605303,园林股份,0.61,-23.75,,7.63,,7417.37,-23.12,,01-12
16,605368,蓝天燃气,0.6,-3.23,,13.32,,23659.13,-4.3,,01-12
17,3036,泰坦股份,0.26,13.04,,5.35,,4201.41,11.89,,01-11
18,300945,曼卡龙,,,,,,5528.04,8.36,,01-11
19,300943,春晖智控,,,,,,5759.74,5.96,,01-11
20,300942,易瑞生物,,,,,,5189.55,-4.29,,01-11
21,605398,新炬网络,1.27,,,16.52,,5688.96,13.37,,01-07
22,300938,信测标准,,,,,,4527.21,-23.04,,01-05
23,688665,四方光电,,,,,,4660.42,31.06,,01-05
24,3035,南网能源,0.09,50.0,,6.22,,26115.23,39.18,,12-30
25,300935,盈建科,,,,,,4257.2,-13.96,,12-30
26,300946,恒而达,,,,,,7599.66,45.14,,12-29
27,605005,合兴股份,0.33,43.48,,12.14,,11743.78,46.9,,12-29
28,605228,神通科技,0.25,0.0,,9.24,,8394.03,-3.12,,12-29
29,601956,东贝集团,0.26,,3.18,,0.12,7817.11,,,12-24
30,688328,深科达,,,,,,2643.24,82.89,,12-24
31,3032,传智教育,,,,,,1378.24,-91.14,,12-23
32,300933,中辰股份,,,,,,6443.67,-13.36,,12-22
33,3033,征和工业,1.45,47.96,,20.97,,8907.77,47.79,,12-22
34,300937,药易购,,,,,,3241.83,15.44,,12-22
35,601963,重庆银行,1.25,5.04,,15.49,,389365.6,4.66,,12-22
36,688819,天能股份,,,,,,146531.28,64.48,,12-21
37,688079,美迪凯,,,,,,10930.48,114.26,,12-17
38,300950,德固特,,,,,,2725.38,-9.58,,12-17
39,300952,恒辉安防,,,,,,8630.61,13.18,,12-17
40,688656,浩欧博,,,,,,3869.17,-29.52,,12-17
41,688083,中望软件,,,,,,7999.71,37.37,,12-16
42,605155,西大门,0.79,-12.22,,11.08,,5674.91,-11.95,,12-15
43,605277,新亚电子,0.79,11.27,,19.13,,7919.43,11.61,,12-15
44,3030,祖名股份,0.82,26.15,,14.55,,7715.32,26.75,,12-15
45,3031,中瓷电子,1.0,,,13.28,,8025.37,45.01,,12-14
46,688618,三旺通信,1.28,19.63,,19.48,,4832.72,23.52,,12-11
47,300941,创识科技,,,,,,7162.1,103.68,,12-10
48,688676,金盘科技,,,,,,16545.71,9.66,,12-09
49,605377,华旺科技,1.13,54.79,,14.86,,17281.22,55.13,,12-09
50,688183,生益电子,,,,,,39293.39,28.55,,12-09
51,688619,罗普特,,,,,,4216.26,-262.98,,12-09
52,300923,研奥股份,0.83,16.9,,8.75,,4913.25,16.83,,12-09
53,688317,之江生物,,,,,,69553.94,1259.09,,12-09
54,688686,奥普特,,,,,,18142.38,2.04,,12-08
55,300927,江天化学,,,,,,4247.71,-4.69,,12-08
56,605179,一鸣食品,0.29,-19.44,,13.92,,9892.55,-20.05,,12-08
57,688617,惠泰医疗,,,,,,6729.75,19.83,,12-08
58,3029,吉大正元,0.21,5.0,,3.99,,2795.19,3.78,,12-07
59,3028,振邦智能,1.52,56.7,,30.31,,12477.1,57.03,,12-07
60,300939,秋田微,,,,,,6155.77,-2.3,,12-04
61,688658,悦康药业,0.71,42.0,,20.35,,25399.88,39.97,,12-04
62,688678,福立旺,,,,,,7138.26,23.48,,12-03
63,688059,华锐精密,,,,,,6140.32,67.26,,12-02
64,688698,伟创电气,,,,,,7396.48,42.42,,12-02
65,688677,海泰新光,,,,,,7541.39,29.43,,12-02
66,605186,健麾信息,0.58,48.72,,18.78,,5904.07,49.04,,12-01
67,605500,森林包装,,,,,,11844.17,33.01,,12-01
68,688063,派能科技,,,,,,19671.4,178.5,,12-01
69,3026,中晶科技,0.83,29.69,,16.0,,6184.58,28.38,,12-01
70,300894,火星人,,,,,,15563.78,8.92,,12-01
71,605266,健之佳,4.3,37.82,19.18,25.27,3.55,17109.0,37.92,,11-30
72,688699,明微电子,1.05,1.94,,16.05,,5846.89,1.9,,11-30
73,3027,同兴环保,1.83,7.65,,19.18,,11907.31,7.71,,11-30
74,688608,恒玄科技,1.3,129.28,,19.95,,11700.13,165.39,,11-25
75,688628,优利德,,,,,,14031.83,236.43,,11-25
76,688560,明冠新材,,,,,,7931.79,5.63,,11-25
77,688679,通源环境,,,,,,5451.37,2.87,,11-25
78,688092,爱科科技,,,,,,3080.38,-1.88,,11-25
79,688070,纵横股份,,,,,,2095.59,14.7,,11-25
80,3023,彩虹集团,1.31,22.43,,10.16,,7940.22,22.02,,11-24
81,605299,舒华体育,0.21,0.0,,8.35,,7433.04,-0.45,,11-24
82,605151,西上海,0.86,13.16,,14.4,,8578.3,12.21,,11-24
83,3025,思进智能,1.24,37.78,,18.15,,7473.22,37.45,,11-24
84,688308,欧科亿,,,,,,7766.37,23.54,,11-23
85,300919,中伟股份,,,,,,28028.06,126.52,,11-23
86,300948,冠中生态,,,,,,5342.04,17.04,,11-20
87,300928,华安鑫创,,,,,,4812.23,-9.86,,11-18
88,605376,博迁新材,0.59,15.69,,18.57,,11565.81,15.23,,11-18
89,688668,鼎通科技,,,,,,5408.12,40.32,,11-18
90,688510,航亚科技,,,,,,3944.14,14.48,,11-18
91,688689,银河微电,,,,,,4960.35,34.59,,11-18
92,688687,凯因科技,,,,,,5042.06,-4.02,,11-18
93,605183,确成股份,0.39,-29.09,,8.43,,14360.93,-29.12,,11-17
94,300909,汇创达,0.93,78.85,5.5,18.5,0.67,7013.83,77.74,,11-17
95,3022,联泓新科,0.48,0.0,,12.42,,42286.67,0.32,,11-17
96,300907,康平科技,0.61,80.18,6.15,10.46,0.74,4410.56,79.05,,11-17
97,300925,法本信息,,,,,,8300.63,21.34,,11-17
98,688219,会通股份,0.34,54.55,3.2,11.33,-0.19,14159.33,81.07,,11-17
99,300917,特发服务,,,,,,7284.12,52.58,,11-17
100,300922,天秦装备,,,,,,4297.0,27.79,,11-17
