,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,605122,四方新材,1.11,19.35,9.54,12.44,1.13,10274.45,20.38,,02-18
1,605208,永茂泰,0.49,,8.07,6.26,0.31,6903.86,,,02-09
2,3039,顺控发展,0.17,-10.53,2.81,6.17,0.41,9713.78,-7.67,,02-08
3,605060,联德股份,0.42,,4.76,9.31,0.51,7602.73,,,02-03
4,605298,必得科技,0.49,,5.8,8.16,0.09,4001.73,,,02-02
5,605268,王力安防,0.16,-5.88,2.49,6.68,0.46,5951.18,-5.3,,01-28
6,605133,嵘泰股份,0.53,-14.52,6.53,8.3,1.34,6377.31,-14.12,,01-26
7,605081,太和水,0.93,25.68,14.71,6.53,-0.85,5452.02,25.87,,01-26
8,605337,李子园,0.71,22.41,5.15,14.8,0.42,8233.96,22.66,,01-19
9,600916,中国黄金,0.09,,3.23,2.93,0.52,13975.03,,,01-19
10,3037,三和管桩,0.34,100.0,2.6,14.07,0.16,14866.88,97.64,,01-18
11,605303,园林股份,0.36,-45.45,8.1,4.48,-0.21,4406.22,-44.51,,01-12
12,605055,迎丰股份,0.09,-30.77,1.92,4.56,0.16,3079.49,-32.61,,01-12
13,3036,泰坦股份,0.1,,4.83,2.2,0.08,1699.66,,,01-11
14,605398,新炬网络,1.16,12.62,,15.01,,5197.86,13.42,,01-07
15,605005,合兴股份,0.17,,2.67,6.59,0.3,6221.1,,,12-29
16,3032,传智教育,-0.08,-134.78,2.07,-4.02,-0.26,-3076.7,-136.7,,12-23
17,3033,征和工业,0.9,,7.11,13.54,1.12,5526.31,,,12-22
18,3030,祖名股份,0.53,,5.72,9.54,0.94,4959.65,,,12-15
19,605155,西大门,0.48,,7.12,6.85,0.7,3453.57,,,12-15
20,605277,新亚电子,0.52,10.64,4.26,13.04,0.46,5221.37,9.84,,12-15
21,3031,中瓷电子,0.56,,7.62,7.69,0.65,4515.29,,,12-14
22,605377,华旺科技,0.61,69.44,,8.35,-0.04,9375.55,69.28,,12-09
23,688619,罗普特,0.01,,3.35,0.43,-0.42,202.83,,,12-09
24,605179,一鸣食品,0.17,-32.0,2.12,8.35,0.07,5763.04,-31.76,,12-08
25,3028,振邦智能,0.66,,4.36,14.38,0.38,5422.77,,,12-07
26,3029,吉大正元,0.14,17.79,5.21,2.69,-0.6,1872.56,17.81,,12-07
27,605186,健麾信息,0.42,16.67,3.18,13.92,0.28,4263.71,14.64,,12-01
28,605500,森林包装,0.38,-2.56,6.82,5.55,0.57,5654.54,-2.54,,12-01
29,3026,中晶科技,0.51,,5.26,10.2,0.58,3823.9,,,12-01
30,3027,同兴环保,0.89,-27.05,9.26,9.96,0.8,5802.53,-26.9,,11-30
31,605151,西上海,0.49,,6.01,8.42,0.51,4854.1,,,11-24
32,605299,舒华体育,0.15,-11.76,2.48,6.05,0.13,5362.7,-15.23,,11-24
33,3025,思进智能,0.85,,6.86,12.61,0.73,5131.56,,,11-24
34,3023,彩虹集团,1.2,11.11,,9.28,1.19,7291.29,18.59,,11-24
35,605376,博迁新材,0.36,16.13,3.24,11.85,0.18,7116.6,17.83,,11-18
36,688689,银河微电,0.32,,5.58,5.89,0.33,3070.47,,,11-18
37,3022,联泓新科,0.26,-3.7,3.89,6.94,0.48,22951.95,-1.86,,11-17
38,605183,确成股份,0.24,-29.41,4.62,5.23,0.4,8917.84,-28.87,,11-17
39,601686,友发集团,0.68,126.67,,21.98,0.16,86762.93,131.22,,11-16
40,3021,兆威机电,1.37,-7.43,10.04,14.7,0.84,10996.54,-7.31,,11-16
41,605258,协和电子,0.69,-11.96,8.01,8.98,0.27,4543.19,-11.97,,11-11
42,3004,声迅股份,0.26,,4.45,5.72,-0.66,1593.81,,,11-09
43,3038,鑫铂股份,0.44,,4.45,10.37,-0.18,3500.05,,,11-09
44,605177,东亚药业,1.01,1.0,10.79,9.71,0.53,8606.66,1.13,,11-06
45,3020,立方制药,0.95,30.14,9.04,10.76,1.42,6604.62,29.94,,11-03
46,605068,明新旭腾,0.78,,5.71,14.62,1.21,9680.16,,,11-03
47,688667,菱电电控,1.73,,7.91,24.6,0.25,6705.22,,,10-30
48,688456,有研粉材,0.38,,8.7,4.28,0.11,2781.8,,,10-29
49,605266,健之佳,2.8,,17.68,17.18,2.0,11118.32,,,10-27
50,3019,宸展光电,0.77,,5.09,15.1,-0.04,7359.56,,,10-26
51,605007,五洲特纸,0.46,170.59,3.26,15.26,0.14,16662.94,179.09,,10-20
52,3018,金富科技,0.19,,3.83,5.0,-0.1,3648.5,,,10-20
53,688079,美迪凯,0.23,,1.68,14.91,0.26,7001.29,,,10-15
54,605169,洪通燃气,0.45,,5.48,8.7,0.61,5451.9,,,10-12
55,688616,西力科技,0.31,,3.75,8.42,-0.12,3467.22,,,10-12
56,3035,南网能源,0.04,,1.51,3.05,0.08,12590.24,,,10-10
57,688059,华锐精密,1.04,,10.81,10.16,0.93,3448.6,,,09-30
58,688183,生益电子,0.45,,2.7,16.86,0.56,29698.6,,,09-30
59,688328,深科达,,,,,,,,,09-30
61,688083,中望软件,,,,,,2791.57,,,09-30
62,3016,欣贺股份,0.23,-33.82,,3.78,0.52,7412.81,-33.84,,09-29
63,688777,中控技术,0.31,,4.51,7.25,0.31,13832.72,,,09-29
64,3015,日久光电,0.19,18.75,,6.23,,3953.73,18.11,,09-23
65,3013,地铁设计,0.47,6.82,,14.95,,17014.63,8.63,,09-23
66,688665,四方光电,0.44,,3.05,14.16,0.29,2334.66,,,09-23
67,300953,震裕科技,0.47,-22.95,9.11,5.35,-0.63,3312.74,-15.29,,09-22
68,688628,优利德,,,,,,11208.55,,,09-22
69,601568,北元集团,0.22,-12.0,,8.88,,72521.67,-10.1,,09-22
70,605058,澳弘电子,0.57,-3.39,,9.86,,6085.22,-4.18,,09-22
71,688696,极米科技,2.59,,17.89,15.67,5.92,9729.96,,,09-21
72,300939,秋田微,0.58,-4.92,6.04,10.09,0.56,3483.79,-4.65,,09-21
73,688677,海泰新光,0.77,,4.15,20.45,0.65,5014.95,,,09-21
74,3012,东鹏控股,0.21,,5.23,4.09,0.13,21599.91,,,09-21
75,688676,金盘科技,,,,,,10823.77,8.9,,09-17
76,3011,海象新材,1.71,67.65,,19.98,,9379.28,66.5,,09-17
77,300952,恒辉安防,0.54,14.89,4.11,14.07,0.59,5871.89,15.89,,09-16
78,300946,恒而达,1.09,,8.71,13.41,0.2,5474.42,,,09-16
79,688133,泰坦科技,,,,,,2036.23,-20.89,,09-15
80,605338,巴比食品,0.3,-18.92,,7.5,,5571.67,-19.08,,09-15
81,300951,博硕科技,0.52,,4.09,11.54,1.67,3112.66,,,09-15
82,605336,帅丰电器,0.72,5.88,,10.09,,7578.34,5.77,,09-15
83,688687,凯因科技,,,,,,2681.44,12.98,,09-15
84,605099,共创草坪,0.5,61.29,,18.36,,18018.43,61.08,,09-10
85,300947,德必集团,,,,,,4740.4,6.53,,09-10
86,300940,南极光,,,,,,3001.48,29.6,,09-10
87,3008,开普检测,0.83,-25.23,,12.41,,4950.67,-25.45,,09-10
88,688618,三旺通信,0.77,,6.67,12.18,0.28,2903.16,,,09-10
89,3007,直真科技,,,,,,-111.51,-136.51,,09-10
90,605018,长华股份,0.13,-35.0,,3.31,,4707.42,-36.9,,09-09
91,688585,上纬新材,0.13,18.18,,5.2,,4603.91,11.67,,09-09
92,605136,丽人丽妆,0.42,-0.62,,9.05,,15027.19,-0.64,,09-09
93,300937,药易购,,,,,,2249.74,-25.59,,09-08
94,300918,南山智尚,,,,,,4909.75,-27.88,,09-08
95,3010,若羽臣,0.46,17.95,,7.49,,4228.2,18.94,,09-08
96,300929,华骐环保,,,,,,2909.01,36.59,,09-08
97,605218,伟时电子,0.24,4.27,,7.33,,3785.31,4.25,,09-08
98,688678,福立旺,0.34,,4.13,8.14,0.74,4451.04,,,09-08
99,300950,德固特,,,,,,2180.69,-13.64,,09-08
100,688070,纵横股份,,,,,,918.58,229.1,,09-08
101,688350,富淼科技,,,,,,5756.42,36.02,,09-07
102,605003,众望布艺,0.86,45.76,6.04,15.31,0.49,5664.8,44.94,,09-07
103,3009,中天火箭,0.52,20.93,,8.4,,6085.48,21.56,,09-07
104,601963,重庆银行,0.81,,,,,254562.0,,,09-07
105,605111,新洁能,0.73,48.98,,9.23,,5533.89,47.84,,09-07
106,300903,科翔股份,,,,,,4097.27,87.06,,09-07
107,605198,德利股份,0.24,8.52,,4.42,,8649.06,8.54,,09-04
108,300919,中伟股份,,,,,,15411.26,82.32,,09-04
109,688669,聚石化学,,,,,,8630.93,73.94,,09-04
110,300945,曼卡龙,,,,,,,,,09-04
111,688658,悦康药业,,,,,,13225.13,-8.04,,09-04
112,300930,屹通新材,,,,,,2527.66,-16.1,,09-03
113,688526,科前生物,0.51,18.6,,15.11,,18289.65,18.14,,09-03
114,688578,艾力斯,,,,,,-13384.36,-34.71,,09-03
115,300920,润阳科技,,,,,,5991.72,13.58,,09-03
116,300926,博俊科技,,,,,,1870.82,3.18,,09-02
117,688156,路德环境,0.04,-91.07,,0.87,,293.13,-90.5,,09-02
118,688608,恒玄科技,,,,,,4887.55,68.64,,09-02
119,605369,拱东医疗,1.49,86.25,,19.89,,8953.88,85.51,,09-02
120,605050,福然德,0.31,-13.89,,5.98,,11242.16,-13.8,,09-01
121,3006,百亚股份,0.23,27.78,,11.9,,8919.16,29.2,,09-01
122,3005,竞业达,1.02,-20.73,,16.24,,8094.53,-20.73,,09-01
123,688668,鼎通科技,,,,,,3539.39,22.55,,09-01
124,688093,世华科技,,,,,,2927.7,71.8,,09-01
125,605116,奥锐特,0.29,45.0,,10.18,,10306.29,43.07,,09-01
126,3003,天元股份,0.24,-20.0,,4.26,,3242.23,-19.38,,09-01
127,688386,泛亚微透,,,,,,1766.95,8.62,,09-01
128,600128,弘业股份,0.09,-340.16,,1.34,,2287.98,-340.35,,08-31
129,2019,亿帆医药,0.58,45.0,,9.13,,71836.72,47.98,,08-31
130,2035,华帝股份,0.19,-57.76,,5.33,,16454.43,-58.36,,08-31
131,2359,*ST北讯,-0.4,10.67,,-4.62,,-42963.72,10.68,,08-31
132,616,海航投资,-0.02,-4320.0,,-0.69,,-3018.44,-4479.28,,08-31
133,2375,亚厦股份,0.09,-35.71,,1.51,,12188.57,-34.67,,08-31
134,2067,景兴纸业,0.1,-16.67,,2.53,,11130.38,-13.73,,08-31
135,603843,正平股份,0.08,14.29,,3.0,,4243.49,5.73,,08-31
136,688379,华光新材,0.33,-25.0,,4.24,,2197.09,-23.87,,08-31
137,600619,海立股份,0.06,-70.0,,1.2,,5375.06,-68.29,,08-31
138,600730,中国高科,-0.01,-600.0,,-0.15,,-278.86,-1047.67,,08-31
139,36,华联控股,0.3,-2.91,,8.56,,44254.97,-3.57,,08-31
140,603499,翔港科技,0.02,-88.47,,0.61,,345.13,-84.85,,08-31
141,600010,包钢股份,0.0,-92.11,,0.16,,8406.99,-91.93,,08-31
142,534,万泽股份,0.1,40.42,,5.04,,4905.29,40.53,,08-31
143,2635,安洁科技,0.66,175.0,,7.4,,42647.9,139.83,,08-31
144,2651,利君股份,0.07,-12.5,,3.11,,6927.43,-15.23,,08-31
145,584,哈工智能,-0.04,-167.13,,-1.38,,-2367.49,-167.1,,08-31
146,603045,福达合金,0.03,-87.4,,0.52,,426.83,-87.52,,08-31
147,600929,雪天盐业,0.07,-24.16,,2.63,,6588.56,-24.26,,08-31
148,651,格力电器,1.06,-53.71,,5.57,,636213.74,-53.73,10派10,08-31
149,600210,紫江企业,0.16,-10.38,,5.0,,24877.3,-10.45,,08-31
150,600247,*ST成城,-0.08,15.0,,,,-2630.88,15.58,,08-31
151,2775,文科园林,0.19,-28.86,,3.76,,9680.45,-28.87,10派4,08-31
152,2792,通宇通讯,0.08,-46.83,,1.48,,2716.64,-46.81,,08-31
153,600381,青海春天,-0.11,-2300.0,,-2.74,,-6445.28,-2436.97,,08-31
154,909,数源科技,0.05,0.0,,1.48,,1595.79,1.09,,08-31
155,600522,中天科技,0.36,-0.25,,4.95,,107991.9,-0.52,,08-31
156,688165,埃夫特,-0.16,700.0,,-4.09,,-6335.15,929.66,,08-31
157,600139,西部资源,-0.01,-70.78,0.52,-2.34,,-815.66,-70.73,,08-31
158,600900,长江电力,0.36,-7.83,,5.25,,790252.57,-7.81,,08-31
159,2159,三特索道,-0.82,203.7,,-11.19,,-11328.9,204.54,,08-31
160,601288,农业银行,0.3,-11.76,5.14,5.97,-0.93,10883400.0,-10.38,,08-31
161,2867,周大生,0.45,-30.77,,6.84,,33054.8,-30.43,,08-31
162,600369,西南证券,0.08,-11.11,,2.16,,42843.78,-12.65,,08-31
163,600776,东方通信,0.03,-28.67,,1.15,,3607.3,-28.67,,08-31
164,2919,名臣健康,0.13,18.18,,2.8,,1599.53,22.89,,08-31
165,506,中润资源,-0.04,977.78,,-3.51,,-3603.39,975.71,,08-31
166,688218,江苏北人,0.1,-69.7,,1.34,,1122.23,-61.63,,08-31
167,615,奥园美谷,-0.25,-5837.21,,-11.09,,-19299.19,-5842.3,,08-31
168,600567,山鹰国际,0.11,-45.13,,3.46,,50112.25,-45.83,,08-31
169,2734,利民股份,0.84,20.0,,13.78,,30491.05,53.47,,08-31
170,2422,科伦药业,0.14,-72.55,,1.54,,20284.12,-72.15,,08-31
171,801,四川九洲,0.01,227.03,,0.49,,1232.89,225.66,,08-31
172,35,中国天楹,0.12,24.95,,2.7,,29590.34,39.77,,08-31
173,2212,天融信,-0.18,157.14,,-2.35,,-20731.5,161.99,,08-31
174,600745,闻泰科技,1.51,387.1,,7.74,,170141.64,767.19,,08-31
175,881,中广核技,0.21,356.62,,3.42,,19904.21,320.88,,08-31
176,2229,鸿博股份,0.05,-412.93,,1.29,,2162.83,-394.11,,08-31
177,601858,中国科传,0.17,0.0,,3.32,,13320.99,-3.57,,08-31
178,600028,中国石化,-0.19,-172.97,,-3.21,,-2288200.0,-173.02,10派0.7,08-31
179,603619,中曼石油,-0.31,-542.86,,-5.42,,-12456.25,-556.56,,08-31
200,600093,易见股份,0.2,-52.07,,2.74,,22105.12,-52.08,,08-31
201,2960,青鸟消防,0.6,-22.53,,5.15,,14502.16,3.5,,08-31
202,571,*ST大洲,-0.06,-40.95,,-7.23,,-4963.61,-40.99,,08-31
206,2120,韵达股份,0.24,-58.62,,4.93,,68100.03,-47.47,,08-31
207,688596,正帆科技,0.14,55.56,,3.92,,2680.64,74.67,,08-31
208,21,深科技,0.13,28.22,,2.73,,19185.69,28.23,,08-31
209,601519,大智慧,-0.01,-71.79,,-1.54,,-2244.63,-71.22,,08-31
210,600751,海航科技,0.16,225.83,,3.27,,45344.8,225.72,,08-31
211,2250,联化科技,0.12,-53.85,,1.83,,10812.58,-54.67,,08-31
212,2607,中公教育,-0.04,-150.0,,-9.0,,-23302.66,-147.26,,08-31
213,972,ST中基,-0.06,-258.47,,-10.66,,-4474.42,-258.6,,08-31
214,603633,徕木股份,0.1,-33.33,,2.54,,1957.35,-14.35,,08-31
215,2966,苏州银行,0.45,-6.25,,5.27,,149848.94,4.8,,08-31
216,603026,石大胜华,-0.21,-118.92,,-2.36,,-4223.07,-118.8,,08-31
217,2671,龙泉股份,-0.18,260.0,,-4.3,,-8442.72,228.0,,08-31
218,603078,江化微,0.16,14.38,,2.76,,2214.06,40.38,,08-31
219,600649,城投控股,0.06,-60.0,,0.73,,14105.2,-62.28,,08-31
220,600290,*ST华仪,-0.13,-1411.0,,-9.09,,-9964.65,-1589.61,,08-31
221,601619,嘉泽新能,0.06,-28.63,,3.5,,11842.8,-23.4,,08-31
222,2866,传艺科技,0.33,90.42,,7.77,,8213.86,92.61,,08-31
223,333,美的集团,2.01,-13.36,,13.03,,1392829.5,-8.29,,08-31
224,913,钱江摩托,0.27,42.11,,4.57,,12461.52,41.14,,08-31
225,600793,宜宾纸业,-0.35,-358.11,,-9.26,,-6192.48,-461.46,,08-31
226,600811,东方集团,0.1,2.53,,1.68,,35620.52,1.25,,08-31
227,2936,郑州银行,0.37,-11.9,4.98,7.58,,241785.3,-2.08,,08-31
228,2288,超华科技,-0.04,-222.9,,-2.54,,-3945.72,-222.68,,08-31
229,688122,西部超导,0.3,39.18,,5.07,,13258.07,54.65,,08-31
230,564,*ST大集,-0.03,-2600.0,,-0.55,,-16494.81,-2534.3,,08-31
231,600521,华海药业,0.4,48.15,,9.8,,57832.27,72.77,,08-31
232,2044,美年健康,-0.22,-2300.0,,-11.28,,-78238.61,-4746.61,,08-31
233,600178,东安动力,0.07,-834.07,,1.63,,3086.7,-835.32,,08-31
234,688500,慧辰资讯,0.2,-24.05,,1.84,,1109.91,-24.01,,08-31
235,601019,山东出版,0.22,-40.54,,4.12,,45199.45,-40.68,,08-31
236,601162,天风证券,0.07,112.5,,2.71,,40498.85,140.79,,08-31
237,2486,嘉麟杰,0.05,555.13,,4.52,,4255.31,554.24,,08-31
238,34,神州数码,0.38,-38.44,,5.46,,24367.3,-38.55,,08-31
239,2855,捷荣技术,0.03,-72.73,,0.48,,632.65,-76.38,,08-31
294,850,华茂股份,0.12,-64.0,,2.56,,11037.85,-63.97,,08-31
295,600744,华银电力,-0.09,-8.0,,-5.51,,-16473.89,-7.68,,08-31
296,880,潍柴重机,0.21,23.53,,3.83,,5686.22,24.72,,08-31
297,425,徐工机械,0.25,-10.14,,6.6,,206173.53,-9.7,,08-31
298,2941,新疆交建,0.15,1400.0,,4.09,,9797.84,1437.75,,08-31
299,2716,*ST金贵,-1.37,3325.0,,,,-131112.28,3354.32,,08-31
300,876,新希望,0.76,100.0,,11.16,,316386.55,102.57,,08-31
301,600759,洲际油气,-0.07,-629.63,,-3.05,,-16174.46,-628.43,,08-31
302,917,电广传媒,-0.19,-2000.0,,-2.45,,-26722.33,-2491.53,,08-31
303,688009,中国通号,0.16,-36.0,,4.23,,177492.54,-21.74,,08-31
331,688026,洁特生物,1.15,259.38,,15.3,,11009.07,352.63,,08-29
332,600067,冠城大通,-0.08,-153.33,,-1.53,,-11800.42,-152.69,,08-29
333,2613,北玻股份,0.03,-535.48,,1.67,,2527.17,-537.25,,08-29
334,528,柳工,0.46,1.81,,6.34,,67848.47,2.67,,08-29
335,601997,贵阳银行,0.88,7.32,11.04,8.06,-3.07,283024.9,6.68,,08-29
336,600085,同仁堂,0.35,-27.39,,5.06,,48044.12,-27.28,,08-29
337,980,*ST众泰,-0.51,264.29,,-17.64,,-103408.71,256.08,,08-29
338,1872,招商港口,0.33,-74.32,,1.77,,63279.86,-72.48,,08-29
339,600866,星湖科技,0.11,8.53,,5.35,,8364.68,8.48,,08-29
340,600121,郑州煤电,-0.25,-2550.96,,-11.76,,-31059.49,-3046.41,,08-29
341,600883,博闻科技,0.03,109.62,,1.16,,772.08,109.89,,08-29
342,603721,中广天择,-0.03,-62.5,,-0.76,,-412.59,-61.01,,08-29
343,688199,久日新材,0.68,-69.23,,2.78,,7518.98,-58.51,,08-29
344,600958,东方证券,0.22,29.41,,2.8,,152602.38,26.16,,08-29
345,600179,*ST安通,-0.32,68.42,,,,-47997.23,67.28,,08-29
346,600977,中国电影,-0.27,-173.7,,-4.28,,-50228.82,-173.68,,08-29
347,2078,太阳纸业,0.36,5.88,,6.21,,93647.82,5.61,,08-29
348,679,*ST友谊,0.07,-130.43,,4.12,,2606.21,-131.92,,08-29
349,2094,青岛金王,-0.05,-112.2,,-1.29,,-3727.19,-113.27,,08-29
350,600613,神奇制药,0.06,-45.45,,1.08,,2853.03,-50.08,,08-29
351,600252,中恒集团,0.09,-11.19,,4.86,,31835.47,-12.38,,08-29
352,2142,宁波银行,1.36,3.82,16.99,8.74,16.46,784252.1,14.6,,08-29
353,600668,尖峰集团,1.07,-22.61,,9.27,,36813.35,-22.61,,08-29
354,601200,上海环境,0.36,11.58,,4.72,,32996.43,11.59,,08-29
355,776,广发证券,0.75,38.89,12.33,6.12,,575153.6,38.93,,08-29
356,600690,海尔智家,0.42,-47.71,,5.68,,278080.07,-46.01,,08-29
357,8,神州高铁,-0.11,-581.93,,-4.08,,-29199.76,-541.0,,08-29
358,601377,兴业证券,0.24,21.45,,4.59,,161941.4,21.45,,08-29
359,816,智慧农业,0.02,-197.59,,1.09,,2302.61,-197.67,,08-29
360,601888,中国中免,0.48,-71.62,,4.65,,93051.85,-71.62,,08-29
361,935,四川双马,0.5,-5.66,,8.72,,38363.6,-4.55,,08-29
362,600814,杭州解百,0.13,-18.75,,3.68,,9587.11,-17.26,,08-29
363,600068,葛洲坝,0.16,-58.91,,2.33,,115926.97,-45.42,,08-29
364,600830,香溢融通,-0.03,-571.43,,-0.72,,-1508.4,-588.35,,08-29
365,600088,中视传媒,-0.14,-187.5,,-4.62,,-5579.13,-187.77,,08-29
366,572,ST海马,-0.11,-3.04,,-3.57,,-17280.11,-3.06,,08-29
367,2343,慈文传媒,-0.01,-105.56,,-0.55,,-621.17,-107.31,,08-29
368,600149,ST坊展,-0.01,20.0,,-1.15,,-239.09,25.98,,08-29
369,600917,重庆燃气,0.09,-21.67,,3.42,,14560.04,-21.33,,08-29
